id,Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Expected_Lifetime,Launch_Site,Launch_Vehicle,longitude_radians_of_geo,Inclination_radians
"AMC-3 (Americom 3, GE-3)",65,5,4,1,,1.218103922,0.611067269,-0.193557158,0.844315164,0.290935203,0.238452313,0.596330176,1.191373152,1,14,-1.102192728,-0.852797229
"AMC-4 (Americom-4, GE-4)",65,5,4,1,,1.218344305,0.610926874,-0.194270748,0.84433809,0.752305058,0.929866111,,1.191373152,3,5,-1.257914276,-0.852968638
"AMC-5 (Americom-5, GE-5)",65,5,4,1,,1.218103922,0.611102368,-0.193398582,0.84433809,-0.206424969,-0.399953093,,1.191373152,3,4,-1.013066282,-0.852625821
"AMC-6 (Americom-6, GE-6)",65,5,4,1,,1.218164018,0.611067269,-0.193636446,0.844361016,0.748836111,0.929866111,,1.191373152,0,97,-0.935926955,-0.852283005
"AMC-7 (Americom-7, GE-7)",65,5,4,1,,1.217863539,0.611172565,-0.192843568,0.844315164,-0.103657435,-0.290095123,0.596330176,1.191373152,3,9,-1.656929932,-0.852968638
"AMC-8 (Americom-8, GE-8, Aurora 3)",65,5,4,1,,1.217863539,0.611172565,-0.192843568,0.844303701,-0.068967973,-0.28471746,-0.100313359,1.191373152,3,9,-1.679794251,-0.852625821
"AMC-9 (Americom 9, GE-12)",65,5,4,1,,1.217863539,0.611172565,-0.192843568,0.844315164,0.83512615,0.545747334,1.358284042,1.191373152,0,97,-1.057685001,-0.852283005
Amos 2,33,16,4,1,,1.218164018,0.61103217,-0.193715734,0.844315164,-0.335643217,-0.494446312,-0.405094906,0.592629209,0,111,-0.181182458,-0.852283005
Amos 3,33,16,4,1,,1.218464496,0.610856676,-0.194667187,0.84433809,,,,0.592629209,0,139,-0.18129345,-0.852454413
Amos 4,33,16,4,1,,1.209450135,0.611102368,-0.179840369,0.83963826,,,,0.592629209,0,136,0.584439239,-0.852968638
Amos 5,33,16,4,1,,1.207166497,0.61850821,-0.156529756,0.844315164,-0.248919561,,,1.191373152,0,98,0.051678418,-0.851597373
Amsat-Oscar 7 (AO-7),65,0,0,2,6,-0.845403537,-0.594084456,-0.185628378,-0.670153236,-0.930133885,,,,21,31,,0.884938315
Anik F1,9,5,4,1,,1.218164018,0.610997071,-0.193795021,0.844315164,1.099633303,1.275573009,2.555640118,1.191373152,3,4,-1.32761715,-0.852797229
Anik F1R,9,5,4,1,,1.218103922,0.611067269,-0.193557158,0.84433809,1.008573464,,1.358284042,1.191373152,0,98,-1.327950125,-0.852797229
Anik F2,9,5,4,1,,1.218344305,0.610891775,-0.194350036,0.844315164,1.619975244,1.932416117,2.66449067,1.191373152,3,7,-1.369794048,-0.852968638
Anik F3,9,5,4,1,,1.218164018,0.61103217,-0.193715734,0.84433809,1.101801395,,2.991042327,1.191373152,0,98,-1.454369828,-0.852968638
Anik G1,9,5,4,1,,1.217863539,0.611207664,-0.19276428,0.844315164,1.184188869,,2.991042327,1.191373152,0,98,-1.327950125,-0.852968638
AprizeSat 1 (LatinSat-C),1,5,5,2,6,-0.890114768,-0.618478108,-0.157243346,-0.687920884,-0.937505396,-0.98150892,,,0,40,,0.826659553
AprizeSat 2 (LatinSat-D),1,5,5,2,6,-0.890234959,-0.615459613,-0.108639925,-0.686889214,-0.937505396,-0.98150892,,,0,40,,0.830087714
AprizeSat 3,66,5,7,2,6,-0.898107502,-0.625217074,-0.190068495,-0.690672003,-0.937505396,-0.98150892,,,0,39,,0.828373634
AprizeSat 4,66,5,7,2,6,-0.895643576,-0.621636999,-0.15565759,-0.690098853,-0.937505396,-0.98150892,,,0,39,,0.828373634
AprizeSat 5,66,5,7,2,6,-0.895283002,-0.620935023,-0.147808098,-0.689754963,-0.937505396,-0.98150892,,,2,40,,0.830087714
AprizeSat 6,66,5,7,2,6,-0.894261374,-0.620935023,-0.157481209,-0.689525703,-0.937505396,-0.98150892,,,2,40,,0.830087714
AprizeSat 7,66,5,7,2,6,-0.896244534,-0.622374073,-0.16176275,-0.690477132,-0.937505396,-0.98150892,,,2,39,,0.82323139
AprizeSat 8,66,5,7,2,6,-0.896244534,-0.621812493,-0.152723941,-0.689537166,-0.937505396,-0.98150892,,,2,39,,0.82323139
Apstar 1,11,5,4,1,,1.218404401,0.611067269,-0.194032885,0.844464183,-0.343014728,-0.432987308,,,23,62,1.438410438,-0.741724767
Apstar 1A,11,5,4,1,,1.218224113,0.610891775,-0.19419146,0.844257849,-0.343014728,-0.432987308,,,23,62,0.434267282,-0.752180662
Apstar 6,11,5,4,1,,1.218164018,0.61103217,-0.193715734,0.844315164,1.086624755,,,,23,64,1.350726886,-0.852968638
Apstar 7,11,5,4,1,,1.223332251,0.613840072,-0.194270748,0.849164012,1.248797993,,,1.191373152,23,64,0.712079852,-0.852625821
Arabsat 5C,42,10,4,1,,1.217442869,0.611418257,-0.191574963,0.844292238,1.06494384,,,1.191373152,3,8,0.084864977,-0.852111597
Arabsat 7F (Nimiq 1),42,5,4,1,,1.218164018,0.61103217,-0.193715734,0.844326627,0.618317008,0.315276069,1.053502495,0.592629209,0,96,0.356905971,-0.852968638
Ardusat-1,65,5,44,2,6,-0.90730215,-0.630727583,-0.193715734,-0.695475,-0.942275197,,,-1.752451237,4,52,,0.032182906
Artemis (Advanced Data Relay and Technology Mission Satellite),13,7,9,1,,1.217743348,0.611348059,-0.192209265,0.844361016,0.403675957,0.161628558,0.182698077,0.19346658,3,9,0.100070859,-0.732640136
AsiaSat 3S (Asiasat 3SA),11,5,4,1,,1.218284209,0.610961972,-0.194112173,0.844303701,0.566282814,0.929866111,1.358284042,1.191373152,0,97,1.03451114,-0.852797229
AsiaSat 4,11,5,4,1,,1.218524592,0.610856676,-0.194746475,0.84433809,0.851170026,0.757012661,1.24943349,1.191373152,1,18,1.219756518,-0.853140046
AsiaSat 5,11,5,4,1,,1.218164018,0.611067269,-0.193636446,0.844349553,0.687695933,,,1.191373152,0,24,0.978460262,-0.853140046
AsiaSat 7,11,5,4,1,,1.218404401,0.610997071,-0.19419146,0.844418331,0.710677702,,,1.191373152,0,98,1.033956182,-0.852797229
AsiaStar,65,5,4,1,,1.217863539,0.611277862,-0.192605704,0.844395405,0.260581923,0.184675685,0.400399181,1.191373152,3,9,1.028073614,-0.852797229
Astra 1D,38,5,4,1,,1.218043826,0.611067269,-0.193398582,0.844315164,0.325191048,0.315276069,-0.100313359,1.191373152,3,3,0.209286828,-0.833428112
Astra 1E,38,5,4,1,,1.217923635,0.611207664,-0.192843568,0.844372479,0.364216693,0.392099824,0.08473258,0.991791838,3,2,0.123490136,-0.852454413
Astra 1F,38,5,4,1,,1.218164018,0.611137466,-0.193398582,0.844395405,0.36248222,0.392099824,0.139157856,1.191373152,0,97,0.076318606,-0.852625821
Astra 1G,38,5,4,1,,1.218284209,0.610926874,-0.19419146,0.844315164,0.522487367,1.321667262,0.618100286,1.191373152,0,97,0.076540589,-0.852454413
Astra 1H,38,5,4,1,,1.218043826,0.61103217,-0.193557158,0.844269312,0.657342653,0.7762186,0.618100286,1.191373152,0,96,0.076096622,-0.852111597
Astra 1KR,38,5,4,1,,1.217442869,0.611488454,-0.1913371,0.84433809,0.935725592,,1.793686251,1.191373152,1,19,0.075652655,-0.851768781
Astra 1L,38,5,4,1,,1.217803443,0.611172565,-0.19276428,0.844257849,1.008573464,,2.011387356,1.191373152,3,8,0.077206541,-0.852283005
Astra 1M,38,5,4,1,,1.219726507,0.613067899,-0.190702797,0.846745319,1.374980914,,1.336513932,1.191373152,0,98,0.076096622,-0.850740332
Astra 1N,38,5,4,1,,1.214377986,0.610540787,-0.189117041,0.84204549,1.377149005,,,1.191373152,3,8,0.175989276,-0.851083148
Astra 2A,38,5,4,1,,1.218043826,0.611137466,-0.193240007,0.844361016,0.633493648,0.929866111,0.705180728,1.191373152,0,97,0.175545308,-0.851768781
Astra 2B,38,5,4,1,,1.217803443,0.611277862,-0.192526417,0.844349553,0.494735797,0.084804803,0.879341612,0.991791838,3,9,0.17621126,-0.851940189
Astra 2C,38,5,4,1,,1.21756306,0.611383158,-0.191812826,0.844361016,0.636962594,0.545747334,0.705180728,1.191373152,0,97,0.176100268,-0.851940189
Astra 2D,38,5,4,1,,1.217683252,0.61131296,-0.192209265,0.84433809,-0.326970852,-0.452961484,-0.492175348,1.191373152,3,9,0.175323325,-0.851940189
Astra 2E,38,5,4,1,,1.218344305,0.610997071,-0.194112173,0.844361016,1.681549041,,2.011387356,1.191373152,0,98,0.175989276,-0.851254557
Astra 2F,38,5,4,1,,1.218103922,0.611067269,-0.193557158,0.844303701,1.65900089,1.052784119,,1.191373152,3,8,0.175989276,-0.852111597
Astra 3A,38,5,4,1,,1.217683252,0.611383158,-0.19205069,0.844303701,-0.292281389,-0.414549606,-0.492175348,0.19346658,3,4,0.123601128,-0.852111597
Astra 3B,38,5,4,1,,1.21756306,0.611453355,-0.191654251,0.844349553,1.429616817,,1.358284042,1.191373152,3,8,0.123823112,-0.851768781
Azerspace/Africasat-1a (Azersat-1),5,10,4,1,,1.218164018,0.61103217,-0.193715734,0.844315164,0.466550608,0.11399783,,1.191373152,3,8,0.373554747,-0.852454413
Badr 2 (Badr B),46,13,36,2,6,-0.872807195,-0.609703413,-0.179047491,-0.681386975,-0.912355535,,,-1.403183937,0,134,,0.847228527
Badr 4 (Arabsat 4B),42,10,4,1,,1.218284209,0.610926874,-0.19419146,0.844292238,0.489965996,0.15164147,,1.191373152,0,98,0.151793055,-0.851940189
Badr 5 (Arabsat 5B),42,10,4,1,,1.221529379,0.614155962,-0.190623509,0.848533547,1.407502285,,,1.191373152,0,95,0.151571072,-0.852111597
Badr 5A (Arabsat 5A),42,10,4,1,,1.207767455,0.605030279,-0.193557158,0.834216262,1.199365509,,,1.191373152,3,8,0.201517399,-0.852625821
Badr 6 (Arabsat 4AR),42,10,4,1,,1.21756306,0.611418257,-0.191733539,0.84433809,0.531593351,,0.487479623,1.191373152,3,8,0.152459006,-0.852283005
BeeSat-1 (Berlin Experimental and Educational Satellite 1),23,0,44,2,6,-0.889333523,-0.620092652,-0.190147783,-0.688379404,-0.942275197,,,-1.602765252,16,79,,0.831801796
BeeSat-2 (Berlin Experimental and Educational Satellite 2),23,0,44,2,6,-0.898588267,-0.624971383,-0.181505412,-0.69180684,-0.942275197,,,-1.602765252,0,105,,0.257584586
BeeSat-3 (Berlin Experimental and Educational Satellite 3),23,0,44,2,6,-0.898648363,-0.624901185,-0.179761081,-0.69180684,-0.942275197,,,-1.602765252,0,105,,0.257584586
"BeijinGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",11,0,12,2,6,-0.891016204,-0.620619134,-0.182853305,-0.688837924,-0.87072818,-0.87165095,-0.807841949,-0.405277364,12,53,,0.824945472
Bird 2 (Bispectral InfraRed Detector 2),23,11,36,2,6,-0.901893533,-0.627007112,-0.183091168,-0.693193863,-0.902815933,-0.931573479,-0.792602872,-1.502974594,13,85,,0.824945472
BKA (BelKA 2),6,10,31,2,,-0.901713246,-0.627498495,-0.192922856,-0.693308493,-0.769261502,-0.90622164,-0.753416673,-0.804439993,0,111,,0.818089147
Bonum 1 (Most 1),48,5,4,1,,1.218103922,0.611067269,-0.193557158,0.844326627,-0.313095067,-0.514420488,-0.492175348,0.592629209,1,29,0.483880634,-0.852625821
Brazilsat B-2 (Brasilsat B-2),8,16,4,1,,1.218043826,0.611137466,-0.193240007,0.844349553,-0.170868269,-0.184078341,-0.426865016,0.592629209,3,5,-0.891752203,-0.838741763
Brazilsat B-3 (Brasilsat B-3),8,5,4,1,,1.217623156,0.611348059,-0.19205069,0.844303701,-0.170868269,-0.184078341,-0.426865016,0.592629209,3,5,-0.969002522,-0.852454413
Brazilsat B-4 (Brasilsat B-4),8,5,4,1,,1.217803443,0.611242763,-0.192605704,0.844326627,0.139168804,-0.184078341,-0.426865016,0.592629209,3,5,-1.069672118,-0.851940189
BRITE-PL-1 (BRIght-star Target Explorer - Poland),42,10,41,2,6,-0.896244534,-0.614196057,-0.03244435,-0.687691624,-0.938372632,,,-1.403183937,2,39,,0.821517309
BSAT-3A,35,5,4,1,,1.218164018,0.61103217,-0.193715734,0.84433809,-0.084144613,,,0.792210523,3,8,1.082903582,-0.852625821
BSAT-3B,35,5,4,1,,1.055184368,0.608610354,0.063335312,0.763535415,-0.04945515,-0.241696157,,1.191373152,3,8,1.083902508,-0.851940189
BSAT-3C/JCSat 110-R,35,5,4,1,,1.218524592,0.610786479,-0.194905051,0.844269312,0.319120392,,,1.191373152,3,8,1.083902508,-0.852283005
C/NOFS (Communication/Navigation Outage Forecasting System),65,15,44,2,,-0.90772282,-0.616758268,0.037725352,-0.690843948,-0.776199394,,,,9,92,,-0.630309487
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),22,10,16,2,6,-0.889754194,-0.620619134,-0.194667187,-0.688608664,-0.688174883,,-0.698991397,-1.203602622,21,29,,0.830087714
Canopus-BÌ_(Kanopus Vulcan 1)Ì_,48,10,31,2,6,-0.901833438,-0.627568693,-0.192922856,-0.693308493,-0.769261502,-0.90622164,-0.753416673,-0.804439993,0,111,,0.818089147
Can-X2 (Canadian Advanced Nanospace experiment),9,0,44,2,6,-0.895343097,-0.623216444,-0.183884046,-0.690557373,-0.939673487,,,,16,90,,0.82323139
Can-X3aÌ_Ì_(BRIght-star Target Explorer (BRITE)),9,0,41,2,6,-0.885607587,-0.617811232,-0.188562027,-0.686889214,-0.940540724,,,,13,79,,0.836944039
Can-X6 (Canadian Advanced Nanospace experiment; NTS [Nanosatellite Tracking Ships]),9,1,44,2,6,-0.895222906,-0.623146246,-0.183884046,-0.690557373,-0.935770923,-0.985734227,,-1.702555909,16,90,,0.82323139
CAPE-2 (Cajun Advanced Picosatellite Experiment),65,0,44,2,6,-0.901893533,-0.627533594,-0.191733539,-0.693342882,,,,,22,73,,-0.158765742
CartoSat 1 (IRS P5),27,10,31,2,6,-0.894802236,-0.623567432,-0.194667187,-0.690557373,-0.266264292,0.12321668,-0.57925579,-0.604858679,13,87,,0.824945472
"CartoSat 2 (IRS P7, CartoSat 2AT)",27,10,31,2,6,-0.893960895,-0.623005851,-0.193557158,-0.690213483,-0.647848382,,,,13,88,,0.80951874
CartoSat 2A,27,15,31,2,6,-0.894441661,-0.622725061,-0.184439061,-0.690213483,-0.647848382,,,,16,90,,0.824945472
CartoSat 2B,27,10,31,2,6,-0.894561853,-0.622654863,-0.182219003,-0.690213483,-0.641777726,,,,16,79,,0.824945472
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),9,10,16,0,,-0.912410288,-0.593136789,0.437415149,-0.683668111,-0.730235856,,-0.688106342,-1.403183937,21,44,,0.535265745
CFESat (Cibola Flight Experiment Satellite),65,10,44,2,,-0.899609895,-0.62619984,-0.191812826,-0.692391453,-0.873763508,,-0.794779883,,1,19,,-0.246355293
Chandra X-Ray Observatory (CXO),65,10,1,0,1,-0.33104409,4.227294617,6.126949049,3.564301235,1.113509088,,-0.274474243,-0.804439993,1,120,,-0.364626897
ChinaSat 6B (Zhong Xing 6B),11,7,4,1,,1.218103922,0.611137466,-0.193319295,0.84433809,1.051935292,,1.24943349,1.191373152,23,64,1.145835954,-0.852283005
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CZ-1-1)",11,10,4,2,6,-0.888131609,-0.619039689,-0.184597637,-0.687691624,-0.899346987,,,,18,64,,0.835229958
Chuangxin 1-2 (Innovation 1-2),11,10,12,2,6,-0.884766247,-0.617074157,-0.184676924,-0.688952554,-0.899000092,,,,5,59,,0.835229958
Chuangxin 1-3 (Innovation 1-3),11,10,12,2,6,-0.884826343,-0.617074157,-0.18412191,-0.686430694,-0.899346987,,,,5,59,,0.835229958
Chuangxin-3,11,10,44,2,6,-0.898047406,-0.623848222,-0.168422926,-0.691325394,-0.855985158,,,,18,58,,0.821517309
Ciel-2,9,5,4,1,,1.218404401,0.610821577,-0.194667187,0.844280775,1.479049302,,,1.191373152,0,98,-1.568802413,-0.852283005
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",65,0,41,2,6,-0.902855065,-0.617530441,-0.021502634,-0.690213483,-0.941342918,,,,21,19,,0.254156424
"CINEMA-2 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",65,0,41,2,6,-0.896244534,-0.619636368,-0.117995885,-0.689525703,-0.94140796,,,,2,39,,0.82323139
"CINEMA-3 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",65,0,41,2,6,-0.896244534,-0.619074788,-0.109036364,-0.689525703,-0.94140796,,,,2,39,,0.82323139
Cloudsat,65,11,16,2,6,-0.889754194,-0.620619134,-0.194667187,-0.688608664,-0.57500051,,-0.694637375,-1.403183937,21,29,,0.830087714
Compass G-1 (Beidou G1),11,15,28,1,,1.21756306,0.611348059,-0.191892114,0.844280775,0.01125141,,,,23,65,1.466824349,-0.8226294
Compass G-10 (Beidou ISGO-5),11,15,28,1,,1.213957316,0.613489085,-0.180553959,0.844315164,0.054613238,,,-0.20569605,23,63,1.019638235,0.092347156
Compass G-11 (Beidou G5),11,15,28,1,,1.218043826,0.611207664,-0.193081431,0.844395405,0.054613238,,,-0.20569605,23,63,0.517844136,-0.821086727
Compass G-3 (Beidou G3),11,15,28,1,,1.217923635,0.611137466,-0.193081431,0.844280775,0.01125141,,,,23,62,0.803093159,-0.82177236
Compass G-4 (Beidou G4),11,15,28,1,,1.217322677,0.611558652,-0.191019948,0.84433809,1.65900089,,,,23,65,1.638861697,-0.828628685
Compass G-5 (Beidou IGSO-1),11,15,28,1,,1.211673678,0.614506949,-0.174210935,0.844017126,0.01125141,,,-0.20569605,23,63,1.172695978,0.0911473
Compass G-6 (Beidou 2-16),11,15,28,1,,1.21798373,0.611207664,-0.193002143,0.844349553,0.705040665,0.7762186,,-0.20569605,23,65,0.750926996,-0.821600952
Compass G-7 (Beidou IGSO-2),11,15,28,1,,1.214498177,0.611839442,-0.185786954,0.844361016,0.01125141,,,-0.20569605,23,63,1.172695978,0.093547014
Compass G-8 (Beidou IGSO-3),11,15,28,1,,1.21305588,0.683967436,0.004979491,0.844143219,0.054613238,,,,23,63,1.172695978,0.799234253
Compass G-9 (Beidou ISGO-4),11,15,28,1,,1.213957316,0.614015566,-0.179126779,0.84319179,0.054613238,,,-0.20569605,23,63,,0.093032789
Compass M1 (Beidou M1),11,15,28,3,,0.361258847,0.110909648,-0.191495675,0.084673734,0.01125141,,,-0.20569605,23,63,,0.094061238
Compass M3 (Beidou 2-12),11,15,28,3,,0.357713198,0.112664587,-0.176034554,0.084444474,0.01125141,,,-0.20569605,23,64,,0.092347156
Compass M4 (Beidou 2-13),11,15,28,3,,0.357232432,0.112945377,-0.173735208,0.0844674,0.01125141,,,-0.20569605,23,64,,0.091318708
Compass M5 (Beidou 2-14),11,15,28,3,,0.35783339,0.112524192,-0.17690672,0.084341307,0.705040665,,,-0.20569605,23,64,,0.089604627
Compass M6 (Beidou 2-15),11,15,28,3,,0.358734826,0.111927512,-0.181426125,0.084341307,0.705040665,,,-0.20569605,23,64,,0.089604627
"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",54,10,13,1,,1.218464496,0.610926874,-0.194508612,0.84433809,0.123992164,,,,3,8,1.283687817,-0.852968638
COMSATBw-1 (COmmunications SATellite fåÙr BundesWehr),23,15,4,1,,1.217863539,0.611207664,-0.19276428,0.84433809,0.115319798,,-0.056773138,1.191373152,3,7,0.562240871,-0.852283005
