id,Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Expected_Lifetime,Launch_Site,Launch_Vehicle,longitude_radians_of_geo,Inclination_radians
Afristar,65,5,4,1,,35770.0,35802.0,0.00037999999999999997,1436.09,2704.0,1530.0,5500.0,15.0,3,4,0.365995544,0.000523599
"Agila 2/ABS-5 (Agila 2, Mabuhay 1)",31,5,4,1,,35769.0,35802.0,0.00039,1436.07,3775.0,1800.0,9000.0,15.0,23,70,2.549227905,0.000872665
AGILE (Astro-rivelatore Gamma a Immagini Leggaro),34,10,37,2,,510.0,534.0,0.0017399999999999998,95.1,325.0,,,3.0,13,89,,0.043633230999999995
AIM (Aeronomy of Ice in Mesosphere),65,10,16,2,,570.0,583.0,0.0009400000000000001,96.2,215.0,197.0,216.0,2.0,21,93,,1.7069320080000001
AISSat-1 (Automatic Identification System Satellite-1),45,10,23,2,6,615.0,632.0,0.00122,97.2,6.0,,,3.0,16,79,,1.7104226669999998
AIST-1,48,0,44,2,,599.0,626.0,0.00193,96.9,,,,,12,107,,1.438151304
AIST-2,48,0,44,2,,558.0,582.0,0.00173,96.06,53.0,,,3.0,0,105,,1.132369619
Akebono (EXOS-D),35,0,40,0,,264.0,5732.0,0.29184,150.4,,294.0,270.0,1.0,20,77,,1.310742268
ALiCEÊÊ(AFIT LEO iMESA CNT E),65,15,44,2,,443.0,886.0,0.03149,98.0,5.0,,,,21,19,,2.09963109
Alphasat I-XLÊÊ(Inmarsat IV-A F4),64,7,10,1,,35786.0,35787.0,1e-05,1436.09,6650.0,3370.0,12000.0,15.0,3,8,0.43633231299999997,0.000349066
Alsat-2A (Algeria Satellite 2A),0,10,12,2,6,672.0,674.0,0.00014,98.2,130.0,,,5.0,16,79,,1.712167996
Amazonas-1,8,5,4,1,,35776.0,35797.0,0.00025,1436.1,4545.0,2000.0,9500.0,15.0,0,98,-1.06499991,0.000698132
Amazonas-2,55,5,4,1,,35767.0,35805.0,0.00045,1436.08,5465.0,,15300.0,15.0,3,7,-1.064650844,0.000523599
Amazonas-3,55,5,4,1,,35781.0,35791.0,0.00011999999999999999,1436.05,6265.0,2778.0,14000.0,15.0,3,8,-1.064650844,0.000523599
"AMC-1 (Americom 1, GE-1)",65,5,4,1,,35772.0,35800.0,0.00033,1436.1,2783.0,1600.0,6500.0,15.0,1,15,-1.798038195,0.000523599
"AMC-10 (Americom-10, GE 10)",65,5,4,1,,35775.0,35797.0,0.00026000000000000003,1436.09,2315.0,907.0,6500.0,15.0,1,14,-2.355670891,0.000174533
"AMC-11 (Americom-11, GE 11)",65,5,4,1,,35774.0,35797.0,0.00027,1436.07,2340.0,2316.0,6500.0,15.0,1,14,-2.28515959,0.000698132
AMC-15 (Americom-15),65,5,4,1,,35777.0,35795.0,0.00021,1436.08,4200.0,,,15.0,0,98,-1.833293846,0.000698132
AMC-16 (Americom-16),65,5,4,1,,35780.0,35793.0,0.00015,1436.1,4312.0,,,15.0,1,19,-1.483180798,0.000349066
AMC-18 (Americom 18),65,5,4,1,,35773.0,35800.0,0.00032,1436.1,2081.0,918.0,,15.0,3,7,-1.832072116,0.001047198
"AMC-2 (Americom 2, GE-2)",65,5,4,1,,35774.0,35798.0,0.00028,1436.1,2648.0,1600.0,6500.0,15.0,3,4,-1.762433479,0.000872665
AMC-21 (Americom 21),65,5,4,1,,35778.0,35793.0,0.00018,1436.1,2500.0,,5000.0,15.0,3,8,-2.1792181040000003,0.052359878
"AMC-3 (Americom 3, GE-3)",65,5,4,1,,35777.0,35795.0,0.00021,1436.08,2845.0,1600.0,6500.0,15.0,1,14,-1.5177383180000001,0.000349066
"AMC-4 (Americom-4, GE-4)",65,5,4,1,,35781.0,35791.0,0.00011999999999999999,1436.1,3909.0,2500.0,,15.0,3,5,-1.7626080119999998,0.000174533
"AMC-5 (Americom-5, GE-5)",65,5,4,1,,35777.0,35796.0,0.00022999999999999998,1436.1,1698.0,769.0,,15.0,3,4,-1.377588379,0.000523599
"AMC-6 (Americom-6, GE-6)",65,5,4,1,,35778.0,35795.0,0.0002,1436.12,3901.0,2500.0,,15.0,0,97,-1.256287996,0.000872665
"AMC-7 (Americom-7, GE-7)",65,5,4,1,,35773.0,35798.0,0.0003,1436.08,1935.0,912.0,6500.0,15.0,3,9,-2.3900538780000002,0.000174533
"AMC-8 (Americom-8, GE-8, Aurora 3)",65,5,4,1,,35773.0,35798.0,0.0003,1436.07,2015.0,919.0,3300.0,15.0,3,9,-2.42600766,0.000523599
"AMC-9 (Americom 9, GE-12)",65,5,4,1,,35773.0,35798.0,0.0003,1436.08,4100.0,2000.0,10000.0,15.0,0,97,-1.447750615,0.000872665
Amos 2,33,16,4,1,,35778.0,35794.0,0.00018999999999999998,1436.08,1400.0,646.0,1900.0,12.0,0,111,-0.069464104,0.000872665
Amos 3,33,16,4,1,,35783.0,35789.0,7e-05,1436.1,,,,12.0,0,139,-0.069638637,0.000698132
Amos 4,33,16,4,1,,35633.0,35796.0,0.0019399999999999999,1432.0,,,,12.0,0,136,1.134464014,0.000174533
Amos 5,33,16,4,1,,35595.0,36007.0,0.00488,1436.08,1600.0,,,15.0,0,98,0.296705973,0.001570796
Amsat-Oscar 7 (AO-7),65,0,0,2,6,1440.0,1459.0,0.00121,114.9,29.0,,,,21,31,,1.7697638619999998
Anik F1,9,5,4,1,,35778.0,35793.0,0.00018,1436.08,4710.0,2950.0,15500.0,15.0,3,4,-1.872214689,0.000349066
Anik F1R,9,5,4,1,,35777.0,35795.0,0.00021,1436.1,4500.0,,10000.0,15.0,0,98,-1.8727382869999998,0.000349066
Anik F2,9,5,4,1,,35781.0,35790.0,0.00011,1436.08,5910.0,3805.0,16000.0,15.0,3,7,-1.9385371999999998,0.000174533
Anik F3,9,5,4,1,,35778.0,35794.0,0.00018999999999999998,1436.1,4715.0,,17500.0,15.0,0,98,-2.071531289,0.000174533
Anik G1,9,5,4,1,,35773.0,35799.0,0.00031,1436.08,4905.0,,17500.0,15.0,0,98,-1.8727382869999998,0.000174533
AprizeSat 1 (LatinSat-C),1,5,5,2,6,696.0,764.0,0.00479,99.4,12.0,12.0,,,0,40,,1.7104226669999998
AprizeSat 2 (LatinSat-D),1,5,5,2,6,694.0,850.0,0.010920000000000001,100.3,12.0,12.0,,,0,40,,1.713913325
AprizeSat 3,66,5,7,2,6,563.0,572.0,0.00065,97.0,12.0,12.0,,,0,39,,1.712167996
AprizeSat 4,66,5,7,2,6,604.0,674.0,0.00499,97.5,12.0,12.0,,,0,39,,1.712167996
AprizeSat 5,66,5,7,2,6,610.0,694.0,0.00598,97.8,12.0,12.0,,,2,40,,1.713913325
AprizeSat 6,66,5,7,2,6,627.0,694.0,0.00476,98.0,12.0,12.0,,,2,40,,1.713913325
AprizeSat 7,66,5,7,2,6,594.0,653.0,0.004220000000000001,97.17,12.0,12.0,,,2,39,,1.7069320080000001
AprizeSat 8,66,5,7,2,6,594.0,669.0,0.00536,97.99,12.0,12.0,,,2,39,,1.7069320080000001
Apstar 1,11,5,4,1,,35782.0,35795.0,0.00015,1436.21,1383.0,726.0,,,23,62,2.47732034,0.113446401
Apstar 1A,11,5,4,1,,35779.0,35790.0,0.00013000000000000002,1436.03,1383.0,726.0,,,23,62,0.8983209659999999,0.102799893
Apstar 6,11,5,4,1,,35778.0,35794.0,0.00018999999999999998,1436.08,4680.0,,,,23,64,2.339439329,0.000174533
Apstar 7,11,5,4,1,,35864.0,35874.0,0.00011999999999999999,1440.31,5054.0,,,15.0,23,64,1.335176878,0.000523599
Arabsat 5C,42,10,4,1,,35766.0,35805.0,0.00045999999999999996,1436.06,4630.0,,,15.0,3,8,0.34889131700000003,0.001047198
Arabsat 7F (Nimiq 1),42,5,4,1,,35778.0,35794.0,0.00018999999999999998,1436.09,3600.0,1700.0,8600.0,12.0,0,96,0.776671517,0.000174533
Ardusat-1,65,5,44,2,6,410.0,415.0,0.00018999999999999998,92.81,1.0,,,0.25,4,52,,0.901462559
Artemis (Advanced Data Relay and Technology Mission Satellite),13,7,9,1,,35771.0,35803.0,0.00037999999999999997,1436.12,3105.0,1500.0,4600.0,10.0,3,9,0.37280232799999996,0.12269664599999999
AsiaSat 3S (Asiasat 3SA),11,5,4,1,,35780.0,35792.0,0.00014,1436.07,3480.0,2500.0,10000.0,15.0,0,97,1.842195025,0.000349066
AsiaSat 4,11,5,4,1,,35784.0,35789.0,5.9999999999999995e-05,1436.1,4137.0,2275.0,9500.0,15.0,1,18,2.133490478,0.0
AsiaSat 5,11,5,4,1,,35778.0,35795.0,0.0002,1436.11,3760.0,,,15.0,0,24,1.754055898,0.0
AsiaSat 7,11,5,4,1,,35782.0,35793.0,0.00013000000000000002,1436.17,3813.0,,,15.0,0,98,1.841322361,0.000349066
AsiaStar,65,5,4,1,,35773.0,35801.0,0.00033,1436.15,2775.0,1530.0,5600.0,15.0,3,9,1.832072116,0.000349066
Astra 1D,38,5,4,1,,35776.0,35795.0,0.00022999999999999998,1436.08,2924.0,1700.0,3300.0,15.0,3,3,0.5445427270000001,0.020071286
Astra 1E,38,5,4,1,,35774.0,35799.0,0.0003,1436.13,3014.0,1800.0,4150.0,14.0,3,2,0.409628775,0.000698132
Astra 1F,38,5,4,1,,35778.0,35797.0,0.00022999999999999998,1436.15,3010.0,1800.0,4400.0,15.0,0,97,0.335452282,0.000523599
Astra 1G,38,5,4,1,,35780.0,35791.0,0.00013000000000000002,1436.08,3379.0,3010.0,6600.0,15.0,0,97,0.33580134799999994,0.000698132
Astra 1H,38,5,4,1,,35776.0,35794.0,0.00021,1436.04,3690.0,2300.0,6600.0,15.0,0,96,0.33510321600000004,0.001047198
Astra 1KR,38,5,4,1,,35766.0,35807.0,0.00049,1436.1,4332.0,,12000.0,15.0,1,19,0.334405085,0.0013962629999999998
Astra 1L,38,5,4,1,,35772.0,35798.0,0.00031,1436.03,4500.0,,13000.0,15.0,3,8,0.336848546,0.000872665
Astra 1M,38,5,4,1,,35804.0,35852.0,0.00057,1438.2,5345.0,,9900.0,15.0,0,98,0.33510321600000004,0.002443461
Astra 1N,38,5,4,1,,35715.0,35780.0,0.0007700000000000001,1434.1,5350.0,,,15.0,3,8,0.492182849,0.002094395
Astra 2A,38,5,4,1,,35776.0,35797.0,0.00025,1436.12,3635.0,2500.0,7000.0,15.0,0,97,0.491484717,0.0013962629999999998
Astra 2B,38,5,4,1,,35772.0,35801.0,0.00033999999999999997,1436.11,3315.0,1400.0,7800.0,14.0,3,9,0.492531915,0.00122173
Astra 2C,38,5,4,1,,35768.0,35804.0,0.00043,1436.12,3643.0,2000.0,7000.0,15.0,0,97,0.492357382,0.00122173
Astra 2D,38,5,4,1,,35770.0,35802.0,0.00037999999999999997,1436.1,1420.0,700.0,1500.0,15.0,3,9,0.49113565200000003,0.00122173
Astra 2E,38,5,4,1,,35781.0,35793.0,0.00014,1436.12,6052.0,,13000.0,15.0,0,98,0.492182849,0.001919862
Astra 2F,38,5,4,1,,35777.0,35795.0,0.00021,1436.07,6000.0,2660.0,,15.0,3,8,0.492182849,0.001047198
Astra 3A,38,5,4,1,,35770.0,35804.0,0.0004,1436.07,1500.0,750.0,1500.0,10.0,3,4,0.409803308,0.001047198
Astra 3B,38,5,4,1,,35768.0,35806.0,0.00045,1436.11,5471.0,,10000.0,15.0,3,8,0.410152374,0.0013962629999999998
Azerspace/Africasat-1a (Azersat-1),5,10,4,1,,35778.0,35794.0,0.00018999999999999998,1436.08,3250.0,1438.0,,15.0,3,8,0.802851456,0.000698132
Badr 2 (Badr B),46,13,36,2,6,984.0,1014.0,0.0020399999999999997,105.1,70.0,,,2.0,0,134,,1.731366618
Badr 4 (Arabsat 4B),42,10,4,1,,35780.0,35791.0,0.00013000000000000002,1436.06,3304.0,1487.0,,15.0,0,98,0.454134671,0.00122173
Badr 5 (Arabsat 5B),42,10,4,1,,35834.0,35883.0,0.00058,1439.76,5420.0,,,15.0,0,95,0.453785606,0.001047198
Badr 5A (Arabsat 5A),42,10,4,1,,35605.0,35623.0,0.00021,1427.27,4940.0,,,15.0,3,8,0.532325422,0.000523599
Badr 6 (Arabsat 4AR),42,10,4,1,,35768.0,35805.0,0.00044,1436.1,3400.0,,6000.0,15.0,3,8,0.45518186899999996,0.000872665
BeeSat-1 (Berlin Experimental and Educational Satellite 1),23,0,44,2,6,709.0,718.0,0.00064,99.0,1.0,,,1.0,16,79,,1.715658655
BeeSat-2 (Berlin Experimental and Educational Satellite 2),23,0,44,2,6,555.0,579.0,0.00173,96.01,1.0,,,1.0,0,105,,1.130973355
BeeSat-3 (Berlin Experimental and Educational Satellite 3),23,0,44,2,6,554.0,581.0,0.00195,96.01,1.0,,,1.0,0,105,,1.130973355
"BeijinGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",11,0,12,2,6,681.0,703.0,0.00156,98.6,166.0,155.0,50.0,7.0,12,53,,1.7086773380000002
Bird 2 (Bispectral InfraRed Detector 2),23,11,36,2,6,500.0,521.0,0.0015300000000000001,94.8,92.0,77.0,120.0,1.5,13,85,,1.7086773380000002
BKA (BelKA 2),6,10,31,2,,503.0,507.0,0.00029,94.7,400.0,110.0,300.0,5.0,0,111,,1.7016960209999998
Bonum 1 (Most 1),48,5,4,1,,35777.0,35795.0,0.00021,1436.09,1452.0,620.0,1500.0,12.0,1,29,0.976337184,0.000523599
Brazilsat B-2 (Brasilsat B-2),8,16,4,1,,35776.0,35797.0,0.00025,1436.11,1780.0,1050.0,1800.0,12.0,3,5,-1.186823891,0.014660766
Brazilsat B-3 (Brasilsat B-3),8,5,4,1,,35769.0,35803.0,0.0004,1436.07,1780.0,1050.0,1800.0,12.0,3,5,-1.3082988070000001,0.000698132
Brazilsat B-4 (Brasilsat B-4),8,5,4,1,,35772.0,35800.0,0.00033,1436.09,2495.0,1050.0,1800.0,12.0,3,5,-1.46660017,0.00122173
BRITE-PL-1 (BRIght-star Target Explorer - Poland),42,10,41,2,6,594.0,886.0,0.02053,99.6,10.0,,,2.0,2,39,,1.705186679
BSAT-3A,35,5,4,1,,35778.0,35794.0,0.00018999999999999998,1436.1,1980.0,,,13.0,3,8,1.918291381,0.000523599
BSAT-3B,35,5,4,1,,33066.0,35725.0,0.03261,1365.61,2060.0,975.0,,15.0,3,8,1.919862177,0.00122173
BSAT-3C/JCSat 110-R,35,5,4,1,,35784.0,35787.0,4e-05,1436.04,2910.0,,,15.0,3,8,1.919862177,0.000872665
C/NOFS (Communication/Navigation Outage Forecasting System),65,15,44,2,,403.0,813.0,0.02938,96.85,384.0,,,,9,92,,0.226892803
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),22,10,16,2,6,702.0,703.0,7e-05,98.8,587.0,,550.0,3.0,21,29,,1.713913325
Canopus-BÊ(Kanopus Vulcan 1)Ê,48,10,31,2,6,501.0,505.0,0.00029,94.7,400.0,110.0,300.0,5.0,0,111,,1.7016960209999998
Can-X2 (Canadian Advanced Nanospace experiment),9,0,44,2,6,609.0,629.0,0.00143,97.1,7.0,,,,16,90,,1.7069320080000001
Can-X3aÊÊ(BRIght-star Target Explorer (BRITE)),9,0,41,2,6,771.0,783.0,0.00084,100.3,5.0,,,,13,79,,1.720894642
Can-X6 (Canadian Advanced Nanospace experiment; NTS [Nanosatellite Tracking Ships]),9,1,44,2,6,611.0,631.0,0.00143,97.1,16.0,6.5,,0.5,16,90,,1.7069320080000001
CAPE-2 (Cajun Advanced Picosatellite Experiment),65,0,44,2,6,500.0,506.0,0.00044,94.67,,,,,22,73,,0.70703288
CartoSat 1 (IRS P5),27,10,31,2,6,618.0,619.0,7e-05,97.1,1560.0,1450.0,1100.0,6.0,13,87,,1.7086773380000002
"CartoSat 2 (IRS P7, CartoSat 2AT)",27,10,31,2,6,632.0,635.0,0.00021,97.4,680.0,,,,13,88,,1.692969374
CartoSat 2A,27,15,31,2,6,624.0,643.0,0.0013599999999999999,97.4,680.0,,,,16,90,,1.7086773380000002
CartoSat 2B,27,10,31,2,6,622.0,645.0,0.00164,97.4,694.0,,,,16,79,,1.7086773380000002
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),9,10,16,0,,325.0,1486.0,0.07979,103.11,490.0,,600.0,2.0,21,44,,1.413716694
CFESat (Cibola Flight Experiment Satellite),65,10,44,2,,538.0,544.0,0.00043,95.5,159.0,,110.0,,1,19,,0.617846555
Chandra X-Ray Observatory (CXO),65,10,1,0,1,9999.0,138825.0,0.79737,3808.92,4742.0,,2500.0,5.0,1,120,,0.497418837
ChinaSat 6B (Zhong Xing 6B),11,7,4,1,,35777.0,35797.0,0.00023999999999999998,1436.1,4600.0,,9500.0,15.0,23,64,2.017251549,0.000872665
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CZ-1-1)",11,10,4,2,6,729.0,748.0,0.00134,99.6,100.0,,,,18,64,,1.7191493130000002
Chuangxin 1-2 (Innovation 1-2),11,10,12,2,6,785.0,804.0,0.00133,98.5,100.8,,,,5,59,,1.7191493130000002
Chuangxin 1-3 (Innovation 1-3),11,10,12,2,6,784.0,804.0,0.0014,100.7,100.0,,,,5,59,,1.7191493130000002
Chuangxin-3,11,10,44,2,6,564.0,611.0,0.0033799999999999998,96.43,200.0,,,,18,58,,1.705186679
Ciel-2,9,5,4,1,,35782.0,35788.0,7e-05,1436.05,5585.0,,,15.0,0,98,-2.251474735,0.000872665
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",65,0,41,2,6,484.0,791.0,0.02191,97.4,3.15,,,,21,19,,1.127482697
"CINEMA-2 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",65,0,41,2,6,594.0,731.0,0.00974,98.0,3.0,,,,2,39,,1.7069320080000001
"CINEMA-3 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",65,0,41,2,6,594.0,747.0,0.01087,98.0,3.0,,,,2,39,,1.7069320080000001
Cloudsat,65,11,16,2,6,702.0,703.0,7e-05,98.8,848.0,,570.0,2.0,21,29,,1.713913325
Compass G-1 (Beidou G1),11,15,28,1,,35768.0,35803.0,0.00042,1436.05,2200.0,,,,23,65,2.522000769,0.031066861
Compass G-10 (Beidou ISGO-5),11,15,28,1,,35708.0,35864.0,0.00185,1436.08,2300.0,,,8.0,23,63,1.818807614,0.962723615
Compass G-11 (Beidou G5),11,15,28,1,,35776.0,35799.0,0.00027,1436.15,2300.0,,,8.0,23,63,1.029744259,0.032637657
Compass G-3 (Beidou G3),11,15,28,1,,35774.0,35797.0,0.00027,1436.05,2200.0,,,,23,62,1.478293876,0.031939525
Compass G-4 (Beidou G4),11,15,28,1,,35764.0,35809.0,0.00053,1436.1,6000.0,,,,23,65,2.7925268030000003,0.024958208
Compass G-5 (Beidou IGSO-1),11,15,28,1,,35670.0,35893.0,0.00265,1435.82,2200.0,,,8.0,23,63,2.0594885169999997,0.961501885
Compass G-6 (Beidou 2-16),11,15,28,1,,35775.0,35799.0,0.00028,1436.11,3800.0,2300.0,,8.0,23,65,1.396263402,0.032114058
Compass G-7 (Beidou IGSO-2),11,15,28,1,,35717.0,35817.0,0.00119,1436.12,2200.0,,,8.0,23,63,2.0594885169999997,0.9639453459999999
Compass G-8 (Beidou IGSO-3),11,15,28,1,,35693.0,37872.0,0.02525,1435.93,2300.0,,,,23,63,2.0594885169999997,1.682497399
Compass G-9 (Beidou ISGO-4),11,15,28,1,,35708.0,35879.0,0.00203,1435.1,2300.0,,,8.0,23,63,,0.963421747
Compass M1 (Beidou M1),11,15,28,3,,21519.0,21545.0,0.00047000000000000004,773.39,2200.0,,,8.0,23,63,,0.964468945
Compass M3 (Beidou 2-12),11,15,28,3,,21460.0,21595.0,0.00242,773.19,2200.0,,,8.0,23,64,,0.962723615
Compass M4 (Beidou 2-13),11,15,28,3,,21452.0,21603.0,0.00271,773.21,2200.0,,,8.0,23,64,,0.9616764179999999
Compass M5 (Beidou 2-14),11,15,28,3,,21462.0,21591.0,0.00231,773.1,3800.0,,,8.0,23,64,,0.959931089
Compass M6 (Beidou 2-15),11,15,28,3,,21477.0,21574.0,0.0017399999999999998,773.1,3800.0,,,8.0,23,64,,0.959931089
"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",54,10,13,1,,35783.0,35791.0,9e-05,1436.1,2460.0,,,,3,8,2.234021443,0.000174533
COMSATBw-1 (COmmunications SATellite fr BundesWehr),23,15,4,1,,35773.0,35799.0,0.00031,1436.1,2440.0,,3500.0,15.0,3,7,1.099557429,0.000872665
COMSATBw-2 (COmmunications SATellite fr BundesWehr),23,15,4,1,,35780.0,35794.0,0.00016999999999999999,1436.11,2440.0,,3500.0,15.0,3,7,0.230383461,0.0013962629999999998
Coriolis (Windsat),65,15,18,2,6,820.0,841.0,0.00146,101.5,817.0,395.0,1174.0,3.0,21,125,,1.7243853009999999
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",59,11,31,2,6,764.0,836.0,0.00502,100.9,70.0,,46.0,2.0,21,73,,1.256637061
"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",59,11,31,2,6,769.0,831.0,0.00432,100.9,70.0,,46.0,2.0,21,73,,1.256637061
"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",59,11,31,2,6,669.0,746.0,0.0054399999999999995,98.9,70.0,,46.0,2.0,21,73,,1.256637061
"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",59,11,31,2,6,751.0,849.0,0.00683,100.9,70.0,,46.0,2.0,21,73,,1.256637061
"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",59,11,31,2,6,772.0,828.0,0.00391,100.9,70.0,,46.0,2.0,21,73,,1.256637061
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),34,3,33,2,6,622.0,623.0,7e-05,97.2,1700.0,,3600.0,5.0,21,35,,1.7086773380000002
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),34,17,12,2,6,622.0,623.0,7e-05,97.2,1700.0,,,5.0,21,29,,1.7086773380000002
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),34,17,12,2,6,622.0,623.0,7e-05,97.2,1700.0,,,5.0,21,37,,1.7086773380000002
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),34,17,12,2,6,622.0,623.0,7e-05,97.2,1700.0,,,5.0,21,29,,1.7086773380000002
Cryosat-2,13,10,12,2,,713.0,724.0,0.00078,99.2,720.0,,,3.0,0,39,,1.605702912
Cubebug 1ÊÊ(Capitn Beto),1,0,44,2,6,630.0,653.0,0.00164,97.55,2.0,,,,5,25,,1.711295332
"Cubebug 2 (Manolito, LO-74)",1,0,44,2,6,594.0,715.0,0.00861,97.8,2.0,,,,2,39,,1.7069320080000001
"Cubesat XI-IV (Oscar 57, CO-57)",35,0,44,2,6,815.0,830.0,0.0010400000000000001,101.3,,1.0,,,12,39,,1.7226399719999999
"Cubesat XI-V (Oscar 58, CO-58)",35,0,44,2,6,678.0,703.0,0.0017699999999999999,98.6,1.0,1.0,,,12,53,,1.7086773380000002
CUNYSat-1ÊÊ(City University of New York Satellite-1),65,0,44,2,,443.0,886.0,0.03149,98.0,1.0,,,,21,19,,2.09963109
CUSat-1 (Cornell University Satellite 1),65,0,44,2,,326.0,1465.0,0.07837999999999999,102.89,,,2.2,0.5,21,44,,1.4135421609999999
"Cute-1 (Cubical Titech Engineering satellite, Oscar 55, CO-55)",35,0,44,2,6,814.0,829.0,0.0010400000000000001,101.3,,1.0,,1.0,12,39,,1.7226399719999999
Cute-1.7 + APD II (Cubical Titech Engineering satellite+Avalanche Photodiode),35,0,44,2,6,609.0,628.0,0.0013599999999999999,97.1,,,,1.0,16,90,,1.7069320080000001
DANDE (Drag and Atmospheric Neutral Density Explorer),65,2,44,2,,326.0,1475.0,0.07902,103.0,50.0,38.0,,1.5,21,44,,1.413716694
