ID,Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Expected_Lifetime,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
AMC-16 (Americom-16),USA,Commercial,Communications,GEO,,35780.0,35793.0,0.00015,1436.1,4312.0,,,38338.0,15.0,USA,Cape Canaveral,Atlas 5,JM/12_08,-1.483180798,0.000349066
AMC-18 (Americom 18),USA,Commercial,Communications,GEO,,35773.0,35800.0,0.00032,1436.1,2081.0,918.0,,39059.0,15.0,USA,Guiana Space Center,Ariane 5,JM/12_08,-1.832072116,0.001047198
"AMC-2 (Americom 2, GE-2)",USA,Commercial,Communications,GEO,,35774.0,35798.0,0.00028,1436.1,2648.0,1600.0,6500.0,35460.0,15.0,USA,Guiana Space Center,Ariane 44L,JM/12_08,-1.762433479,0.000872665
AMC-21 (Americom 21),USA,Commercial,Communications,GEO,,35778.0,35793.0,0.00018,1436.1,2500.0,,5000.0,39674.0,15.0,USA,Guiana Space Center,Ariane 5 ECA,JM/12_08,-2.1792181040000003,0.052359878
"AMC-3 (Americom 3, GE-3)",USA,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.08,2845.0,1600.0,6500.0,35677.0,15.0,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,-1.517738318,0.000349066
"AMC-4 (Americom-4, GE-4)",USA,Commercial,Communications,GEO,,35781.0,35791.0,0.00012,1436.1,3909.0,2500.0,,36477.0,15.0,USA,Guiana Space Center,Ariane 44LP,JM/12_08,-1.7626080119999998,0.000174533
"AMC-5 (Americom-5, GE-5)",USA,Commercial,Communications,GEO,,35777.0,35796.0,0.00023,1436.1,1698.0,769.0,,36096.0,15.0,France,Guiana Space Center,Ariane 44L,JM/12_08,-1.377588379,0.000523599
"AMC-6 (Americom-6, GE-6)",USA,Commercial,Communications,GEO,,35778.0,35795.0,0.0002,1436.12,3901.0,2500.0,,36821.0,15.0,USA,Baikonur Cosmodrome,Proton K,JM/12_08,-1.256287996,0.000872665
"AMC-7 (Americom-7, GE-7)",USA,Commercial,Communications,GEO,,35773.0,35798.0,0.0003,1436.08,1935.0,912.0,6500.0,36783.0,15.0,USA,Guiana Space Center,Ariane 5G,JM/12_08,-2.390053878,0.000174533
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,Commercial,Communications,GEO,,35773.0,35798.0,0.0003,1436.07,2015.0,919.0,3300.0,36879.0,15.0,USA,Guiana Space Center,Ariane 5G,JM/12_08,-2.42600766,0.000523599
"AMC-9 (Americom 9, GE-12)",USA,Commercial,Communications,GEO,,35773.0,35798.0,0.0003,1436.08,4100.0,2000.0,10000.0,37779.0,15.0,France,Baikonur Cosmodrome,Proton K,JM/12_08,-1.447750615,0.000872665
Amos 2,Israel,Military/Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.08,1400.0,646.0,1900.0,37982.0,12.0,Israel,Baikonur Cosmodrome,Soyuz-Fregat,JM/12_08,-0.069464104,0.000872665
Amos 3,Israel,Military/Commercial,Communications,GEO,,35783.0,35789.0,7e-05,1436.1,,,,39566.0,12.0,Israel,Baikonur Cosmodrome,Zenit 3SLB,JM/12_08,-0.069638637,0.000698132
Amos 4,Israel,Military/Commercial,Communications,GEO,,35633.0,35796.0,0.00194,1432.0,,,,41517.0,12.0,Israel,Baikonur Cosmodrome,Zenit 2SB,,1.134464014,0.000174533
Amos 5,Israel,Military/Commercial,Communications,GEO,,35595.0,36007.0,0.00488,1436.08,1600.0,,,40888.0,15.0,Russia,Baikonur Cosmodrome,Proton M,JM/1_12,0.296705973,0.001570796
Amsat-Oscar 7 (AO-7),USA,Civil,Amateur Radio,LEO,Sun-Synchronous,1440.0,1459.0,0.00121,114.9,29.0,,,27348.0,,USA,Vandenberg AFB,Delta 2310,www.satellitedebris.net 12/12,,1.7697638619999998
Anik F1,Canada,Commercial,Communications,GEO,,35778.0,35793.0,0.00018,1436.08,4710.0,2950.0,15500.0,36851.0,15.0,USA,Guiana Space Center,Ariane 44L,JM/12_08,-1.872214689,0.000349066
Anik F1R,Canada,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.1,4500.0,,10000.0,38604.0,15.0,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,JM/12_08,-1.872738287,0.000349066
Anik F2,Canada,Commercial,Communications,GEO,,35781.0,35790.0,0.00011,1436.08,5910.0,3805.0,16000.0,38186.0,15.0,USA,Guiana Space Center,Ariane 5,JM/12_08,-1.9385372,0.000174533
Anik F3,Canada,Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.1,4715.0,,17500.0,39181.0,15.0,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,JM/12_08,-2.071531289,0.000174533
Anik G1,Canada,Commercial,Communications,GEO,,35773.0,35799.0,0.00031,1436.08,4905.0,,17500.0,41379.0,15.0,USA,Baikonur Cosmodrome,Proton M,SC - ASCR,-1.872738287,0.000174533
AprizeSat 1 (LatinSat-C),Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,696.0,764.0,0.00479,99.4,12.0,12.0,,38167.0,,Argentina,Baikonur Cosmodrome,Dnepr 1,www.satellitedebris.net 12/12,,1.7104226669999998
AprizeSat 2 (LatinSat-D),Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,694.0,850.0,0.01092,100.3,12.0,12.0,,38167.0,,Argentina,Baikonur Cosmodrome,Dnepr 1,www.satellitedebris.net 12/12,,1.713913325
AprizeSat 3,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,563.0,572.0,0.00065,97.0,12.0,12.0,,40023.0,,USA,Baikonur Cosmodrome,Dnepr,www.satellitedebris.net 12/12,,1.712167996
AprizeSat 4,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,604.0,674.0,0.00499,97.5,12.0,12.0,,40023.0,,USA,Baikonur Cosmodrome,Dnepr,www.satellitedebris.net 12/12,,1.712167996
AprizeSat 5,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,610.0,694.0,0.00598,97.8,12.0,12.0,,40772.0,,USA,Dombarovsky Launch Facility,Dnepr 1,www.satellitedebris.net 12/12,,1.713913325
AprizeSat 6,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,627.0,694.0,0.00476,98.0,12.0,12.0,,40772.0,,USA,Dombarovsky Launch Facility,Dnepr 1,www.satellitedebris.net 12/12,,1.713913325
AprizeSat 7,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,594.0,653.0,0.004220000000000001,97.17,12.0,12.0,,41599.0,,USA,Dombarovsky Launch Facility,Dnepr,ZARYA,,1.706932008
AprizeSat 8,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,594.0,669.0,0.00536,97.99,12.0,12.0,,41599.0,,USA,Dombarovsky Launch Facility,Dnepr,ZARYA,,1.706932008
Apstar 1,China (PR),Commercial,Communications,GEO,,35782.0,35795.0,0.00015,1436.21,1383.0,726.0,,34536.0,,USA,Xichang Satellite Launch Center,Long March 3,JM/1_12,2.47732034,0.113446401
Apstar 1A,China (PR),Commercial,Communications,GEO,,35779.0,35790.0,0.00013000000000000002,1436.03,1383.0,726.0,,35249.0,,USA,Xichang Satellite Launch Center,Long March 3,JM/1_12,0.8983209659999999,0.102799893
Apstar 6,China (PR),Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.08,4680.0,,,38454.0,,France,Xichang Satellite Launch Center,Long March 3B,JM/12_08,2.339439329,0.000174533
Apstar 7,China (PR),Commercial,Communications,GEO,,35864.0,35874.0,0.00012,1440.31,5054.0,,,40999.0,15.0,France/Italy,Xichang Satellite Launch Center,Long March 3B,,1.335176878,0.000523599
Arabsat 5C,Multinational,Government,Communications,GEO,,35766.0,35805.0,0.00046,1436.06,4630.0,,,40807.0,15.0,France,Guiana Space Center,Ariane 5 ECA,JM/1_12,0.34889131700000003,0.001047198
Arabsat 7F (Nimiq 1),Multinational,Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.09,3600.0,1700.0,8600.0,36300.0,12.0,USA/Canada,Baikonur Cosmodrome,Proton D,JM/12_08,0.776671517,0.000174533
Ardusat-1,USA,Commercial,Technology Development,LEO,Sun-Synchronous,410.0,415.0,0.00019,92.81,1.0,,,41597.0,0.25,USA,ISS,JSSOD,ZARYA,,0.901462559
Artemis (Advanced Data Relay and Technology Mission Satellite),ESA,Commercial/Government,Communications/Research,GEO,,35771.0,35803.0,0.00038,1436.12,3105.0,1500.0,4600.0,37084.0,10.0,Italy,Guiana Space Center,Ariane 5G,SC - ASCR,0.372802328,0.122696646
AsiaSat 3S (Asiasat 3SA),China (PR),Commercial,Communications,GEO,,35780.0,35792.0,0.00014,1436.07,3480.0,2500.0,10000.0,36240.0,15.0,USA,Baikonur Cosmodrome,Proton K,JM/12_08,1.842195025,0.000349066
AsiaSat 4,China (PR),Commercial,Communications,GEO,,35784.0,35789.0,6e-05,1436.1,4137.0,2275.0,9500.0,37723.0,15.0,USA,Cape Canaveral,Atlas 3B,JM/12_08,2.133490478,0.0
AsiaSat 5,China (PR),Commercial,Communications,GEO,,35778.0,35795.0,0.0002,1436.11,3760.0,,,40036.0,15.0,USA,Baikonur Cosmodrome,Breeze M,JM/10/09,1.754055898,0.0
AsiaSat 7,China (PR),Commercial,Communications,GEO,,35782.0,35793.0,0.00013000000000000002,1436.17,3813.0,,,40872.0,15.0,USA,Baikonur Cosmodrome,Proton M,JM/1_12,1.841322361,0.000349066
AsiaStar,USA,Commercial,Communications,GEO,,35773.0,35801.0,0.00033,1436.15,2775.0,1530.0,5600.0,36606.0,15.0,France,Guiana Space Center,Ariane 5G,JM/12_08,1.832072116,0.000349066
Astra 1D,Luxembourg,Commercial,Communications,GEO,,35776.0,35795.0,0.00023,1436.08,2924.0,1700.0,3300.0,34639.0,15.0,USA,Guiana Space Center,Ariane 42P,JM/12_08,0.5445427270000001,0.020071286
Astra 1E,Luxembourg,Commercial,Communications,GEO,,35774.0,35799.0,0.0003,1436.13,3014.0,1800.0,4150.0,34991.0,14.0,USA,Guiana Space Center,Ariane 42L,JM/12_08,0.409628775,0.000698132
Astra 1F,Luxembourg,Commercial,Communications,GEO,,35778.0,35797.0,0.00023,1436.15,3010.0,1800.0,4400.0,35173.0,15.0,USA,Baikonur Cosmodrome,Proton K,JM/12_08,0.335452282,0.000523599
Astra 1G,Luxembourg,Commercial,Communications,GEO,,35780.0,35791.0,0.00013000000000000002,1436.08,3379.0,3010.0,6600.0,35766.0,15.0,USA,Baikonur Cosmodrome,Proton K,JM/12_08,0.33580134799999994,0.000698132
Astra 1H,Luxembourg,Commercial,Communications,GEO,,35776.0,35794.0,0.00021,1436.04,3690.0,2300.0,6600.0,36329.0,15.0,USA,Baikonur Cosmodrome,Proton D,JM/12_08,0.33510321600000004,0.001047198
Astra 1KR,Luxembourg,Commercial,Communications,GEO,,35766.0,35807.0,0.00049,1436.1,4332.0,,12000.0,38827.0,15.0,USA,Cape Canaveral,Atlas 5,JM/12_08,0.334405085,0.0013962629999999998
Astra 1L,Luxembourg,Commercial,Communications,GEO,,35772.0,35798.0,0.00031,1436.03,4500.0,,13000.0,39206.0,15.0,USA,Guiana Space Center,Ariane 5 ECA,JM/12_08,0.336848546,0.000872665
Astra 1M,Luxembourg,Commercial,Communications,GEO,,35804.0,35852.0,0.00057,1438.2,5345.0,,9900.0,39757.0,15.0,France,Baikonur Cosmodrome,Proton M,SC - ASCR 1/09,0.33510321600000004,0.002443461
Astra 1N,Luxembourg,Commercial,Communications,GEO,,35715.0,35780.0,0.0007700000000000001,1434.1,5350.0,,,40761.0,15.0,France,Guiana Space Center,Ariane 5 ECA,SC - ASCR 9/11,0.492182849,0.002094395
Astra 2A,Luxembourg,Commercial,Communications,GEO,,35776.0,35797.0,0.00025,1436.12,3635.0,2500.0,7000.0,36037.0,15.0,USA,Baikonur Cosmodrome,Proton K,JM/12_08,0.491484717,0.0013962629999999998
Astra 2B,Luxembourg,Commercial,Communications,GEO,,35772.0,35801.0,0.00034,1436.11,3315.0,1400.0,7800.0,36783.0,14.0,France/UK/Germany,Guiana Space Center,Ariane 5G,JM/12_08,0.492531915,0.00122173
Astra 2C,Luxembourg,Commercial,Communications,GEO,,35768.0,35804.0,0.00043,1436.12,3643.0,2000.0,7000.0,37058.0,15.0,USA,Baikonur Cosmodrome,Proton K,JM/12_08,0.492357382,0.00122173
Astra 2D,Luxembourg,Commercial,Communications,GEO,,35770.0,35802.0,0.00038,1436.1,1420.0,700.0,1500.0,36879.0,15.0,USA,Guiana Space Center,Ariane 5G,JM/12_08,0.491135652,0.00122173
Astra 2E,Luxembourg,Commercial,Communications,GEO,,35781.0,35793.0,0.00014,1436.12,6052.0,,13000.0,41546.0,15.0,France,Baikonur Cosmodrome,Proton M,SC - ASCR,0.492182849,0.001919862
Astra 2F,Luxembourg,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.07,6000.0,2660.0,,41180.0,15.0,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,SC - ASCR,0.492182849,0.001047198
Astra 3A,Luxembourg,Commercial,Communications,GEO,,35770.0,35804.0,0.0004,1436.07,1500.0,750.0,1500.0,37344.0,10.0,USA,Guiana Space Center,Ariane 44L,JM/12_08,0.409803308,0.001047198
Astra 3B,Luxembourg,Commercial,Communications,GEO,,35768.0,35806.0,0.00045,1436.11,5471.0,,10000.0,40319.0,15.0,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,SC - ASCR,0.410152374,0.0013962629999999998
Azerspace/Africasat-1a (Azersat-1),Azerbaijan,Government,Communications,GEO,,35778.0,35794.0,0.00019,1436.08,3250.0,1438.0,,41312.0,15.0,USA,Guiana Space Center,Ariane 5 ECA,SC - ASCR,0.802851456,0.000698132
Badr 2 (Badr B),Pakistan,Government/Military,Remote Sensing/Technology Development,LEO,Sun-Synchronous,984.0,1014.0,0.00204,105.1,70.0,,,37235.0,2.0,Pakistan,Baikonur Cosmodrome,Zenit 2,www.satellitedebris.net 12/12,,1.731366618
Badr 4 (Arabsat 4B),Multinational,Government,Communications,GEO,,35780.0,35791.0,0.00013000000000000002,1436.06,3304.0,1487.0,,39029.0,15.0,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,JM/12_08,0.454134671,0.00122173
Badr 5 (Arabsat 5B),Multinational,Government,Communications,GEO,,35834.0,35883.0,0.00058,1439.76,5420.0,,,40332.0,15.0,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,SC - ASCR,0.453785606,0.001047198
Badr 5A (Arabsat 5A),Multinational,Government,Communications,GEO,,35605.0,35623.0,0.00021,1427.27,4940.0,,,40355.0,15.0,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,SC - ASCR,0.532325422,0.000523599
Badr 6 (Arabsat 4AR),Multinational,Government,Communications,GEO,,35768.0,35805.0,0.00044,1436.1,3400.0,,6000.0,39636.0,15.0,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,JM/12_08,0.455181869,0.000872665
BeeSat-1 (Berlin Experimental and Educational Satellite 1),Germany,Civil,Technology Development,LEO,Sun-Synchronous,709.0,718.0,0.00064,99.0,1.0,,,40079.0,1.0,Germany,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,,1.715658655
BeeSat-2 (Berlin Experimental and Educational Satellite 2),Germany,Civil,Technology Development,LEO,Sun-Synchronous,555.0,579.0,0.00173,96.01,1.0,,,41383.0,1.0,Germany,Baikonur Cosmodrome,Soyuz 2-1A,ZARYA,,1.130973355
BeeSat-3 (Berlin Experimental and Educational Satellite 3),Germany,Civil,Technology Development,LEO,Sun-Synchronous,554.0,581.0,0.00195,96.01,1.0,,,41383.0,1.0,Germany,Baikonur Cosmodrome,Soyuz 2-1A,ZARYA,,1.130973355
"BeijinGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",China (PR),Civil,Earth Observation,LEO,Sun-Synchronous,681.0,703.0,0.00156,98.6,166.0,155.0,50.0,38652.0,7.0,China (PR)/United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,www.satellitedebris.net 12/12,,1.7086773380000002
Bird 2 (Bispectral InfraRed Detector 2),Germany,Government/Civil,Remote Sensing/Technology Development,LEO,Sun-Synchronous,500.0,521.0,0.00153,94.8,92.0,77.0,120.0,37186.0,1.5,Germany,Satish Dhawan Space Center,PSLV C3,www.satellitedebris.net 12/12,,1.7086773380000002
BKA (BelKA 2),Belarus,Government,Remote Sensing,LEO,,503.0,507.0,0.00029,94.7,400.0,110.0,300.0,41112.0,5.0,Russia,Baikonur Cosmodrome,Soyuz-Fregat,www.satellitedebris.net 12/12,,1.7016960209999998
Bonum 1 (Most 1),Russia,Commercial,Communications,GEO,,35777.0,35795.0,0.00021,1436.09,1452.0,620.0,1500.0,36121.0,12.0,USA,Cape Canaveral,Delta 2,JM/12_08,0.976337184,0.000523599
Brazilsat B-2 (Brasilsat B-2),Brazil,Military/Commercial,Communications,GEO,,35776.0,35797.0,0.00025,1436.11,1780.0,1050.0,1800.0,34786.0,12.0,USA,Guiana Space Center,Ariane 44LP,JM/12_08,-1.186823891,0.014660766
Brazilsat B-3 (Brasilsat B-3),Brazil,Commercial,Communications,GEO,,35769.0,35803.0,0.0004,1436.07,1780.0,1050.0,1800.0,35830.0,12.0,USA,Guiana Space Center,Ariane 44LP,JM/12_08,-1.308298807,0.000698132
Brazilsat B-4 (Brasilsat B-4),Brazil,Commercial,Communications,GEO,,35772.0,35800.0,0.00033,1436.09,2495.0,1050.0,1800.0,36755.0,12.0,USA,Guiana Space Center,Ariane 44LP,JM/12_08,-1.46660017,0.00122173
BRITE-PL-1 (BRIght-star Target Explorer - Poland),Multinational,Government,Space Science,LEO,Sun-Synchronous,594.0,886.0,0.02053,99.6,10.0,,,41599.0,2.0,Canada,Dombarovsky Launch Facility,Dnepr,ZARYA,,1.705186679
